[2025-11-26 11:50:59] INFO  | 📨 Dados recebidos na conexão FD 6: 590 bytes acumulados
[2025-11-26 11:50:59] INFO  | GET /serverImg.png HTTP/1.1 recebido na FD 6
[2025-11-26 11:50:59] DEBUG | Rota encontrada: /

[2025-11-26 11:50:59] INFO  | ➡️  Resposta gerada: Status 200 OK
[2025-11-26 11:50:59] INFO  | ✅ 1 request(s) processado(s) na FD 6
[2025-11-26 11:50:59] INFO  | Conexão fechada: FD 6
[2025-11-26 11:50:59] INFO  | Nova conexão: FD 6
[2025-11-26 11:50:59] INFO  | 📨 Dados recebidos na conexão FD 6: 525 bytes acumulados
[2025-11-26 11:50:59] INFO  | GET /index.js HTTP/1.1 recebido na FD 6
[2025-11-26 11:50:59] DEBUG | Rota encontrada: /

[2025-11-26 11:50:59] INFO  | ➡️  Resposta gerada: Status 200 OK
[2025-11-26 11:50:59] INFO  | ✅ 1 request(s) processado(s) na FD 6
[2025-11-26 11:50:59] INFO  | Conexão fechada: FD 6
[2025-11-26 11:51:37] INFO  | Servidor com 1 sockets ouvindo
[2025-11-26 11:51:37] INFO  | Servidor rodando...
[2025-11-26 11:51:39] INFO  | Nova conexão: FD 6
[2025-11-26 11:51:39] INFO  | 📨 Dados recebidos na conexão FD 6: 712 bytes acumulados
[2025-11-26 11:51:39] INFO  | GET /index.html HTTP/1.1 recebido na FD 6
[2025-11-26 11:51:39] DEBUG | Rota encontrada: /
[2025-11-26 11:51:39] INFO  | ➡️  Resposta gerada: Status 200 OK
[2025-11-26 11:51:39] INFO  | ✅ 1 request(s) processado(s) na FD 6
[2025-11-26 11:51:39] INFO  | Nova conexão: FD 7
[2025-11-26 11:51:39] INFO  | Conexão fechada: FD 6
[2025-11-26 11:51:39] INFO  | 📨 Dados recebidos na conexão FD 7: 602 bytes acumulados
[2025-11-26 11:51:39] INFO  | GET /3u-server-svgrepo-com.png HTTP/1.1 recebido na FD 7
[2025-11-26 11:51:39] DEBUG | Rota encontrada: /
[2025-11-26 11:51:39] INFO  | ➡️  Resposta gerada: Status 200 OK
[2025-11-26 11:51:39] INFO  | ✅ 1 request(s) processado(s) na FD 7
[2025-11-26 11:51:39] INFO  | Conexão fechada: FD 7
[2025-11-26 11:51:39] INFO  | Nova conexão: FD 6
[2025-11-26 11:51:39] INFO  | 📨 Dados recebidos na conexão FD 6: 590 bytes acumulados
[2025-11-26 11:51:39] INFO  | GET /serverImg.png HTTP/1.1 recebido na FD 6
[2025-11-26 11:51:39] DEBUG | Rota encontrada: /
[2025-11-26 11:51:39] INFO  | ➡️  Resposta gerada: Status 200 OK
[2025-11-26 11:51:39] INFO  | ✅ 1 request(s) processado(s) na FD 6
[2025-11-26 11:51:39] INFO  | Conexão fechada: FD 6
[2025-11-26 11:51:39] INFO  | Nova conexão: FD 6
[2025-11-26 11:51:39] INFO  | 📨 Dados recebidos na conexão FD 6: 525 bytes acumulados
[2025-11-26 11:51:39] INFO  | GET /index.js HTTP/1.1 recebido na FD 6
[2025-11-26 11:51:39] DEBUG | Rota encontrada: /
[2025-11-26 11:51:39] INFO  | ➡️  Resposta gerada: Status 200 OK
[2025-11-26 11:51:39] INFO  | ✅ 1 request(s) processado(s) na FD 6
[2025-11-26 11:51:39] INFO  | Conexão fechada: FD 6
[2025-11-26 11:54:17] INFO  | Nova conexão: FD 6
[2025-11-26 11:54:17] INFO  | 📨 Dados recebidos na conexão FD 6: 652 bytes acumulados
[2025-11-26 11:54:17] INFO  | GET / HTTP/1.1 recebido na FD 6
[2025-11-26 11:54:17] DEBUG | Rota encontrada: /
[2025-11-26 11:54:17] INFO  | ➡️  Resposta gerada: Status 200 OK
[2025-11-26 11:54:17] INFO  | ✅ 1 request(s) processado(s) na FD 6
[2025-11-26 11:54:17] INFO  | Conexão fechada: FD 6
[2025-11-26 11:54:17] INFO  | Nova conexão: FD 6
[2025-11-26 11:54:17] INFO  | Nova conexão: FD 7
[2025-11-26 11:54:18] INFO  | 📨 Dados recebidos na conexão FD 6: 592 bytes acumulados
[2025-11-26 11:54:18] INFO  | GET /3u-server-svgrepo-com.png HTTP/1.1 recebido na FD 6
[2025-11-26 11:54:18] DEBUG | Rota encontrada: /
[2025-11-26 11:54:18] INFO  | ➡️  Resposta gerada: Status 200 OK
[2025-11-26 11:54:18] INFO  | ✅ 1 request(s) processado(s) na FD 6
[2025-11-26 11:54:18] INFO  | Conexão fechada: FD 6
[2025-11-26 11:54:18] INFO  | 📨 Dados recebidos na conexão FD 7: 580 bytes acumulados
[2025-11-26 11:54:18] INFO  | GET /serverImg.png HTTP/1.1 recebido na FD 7
[2025-11-26 11:54:18] DEBUG | Rota encontrada: /
[2025-11-26 11:54:18] INFO  | ➡️  Resposta gerada: Status 200 OK
[2025-11-26 11:54:18] INFO  | ✅ 1 request(s) processado(s) na FD 7
[2025-11-26 11:54:18] INFO  | Conexão fechada: FD 7
[2025-11-26 11:54:18] INFO  | Nova conexão: FD 6
[2025-11-26 11:54:18] INFO  | 📨 Dados recebidos na conexão FD 6: 515 bytes acumulados
[2025-11-26 11:54:18] INFO  | GET /index.js HTTP/1.1 recebido na FD 6
[2025-11-26 11:54:18] DEBUG | Rota encontrada: /
[2025-11-26 11:54:18] INFO  | ➡️  Resposta gerada: Status 200 OK
[2025-11-26 11:54:18] INFO  | ✅ 1 request(s) processado(s) na FD 6
[2025-11-26 11:54:18] INFO  | Conexão fechada: FD 6
[2025-11-26 12:00:36] INFO  | Servidor com 1 sockets ouvindo
[2025-11-26 12:00:36] INFO  | Servidor rodando...
[2025-11-26 12:00:46] INFO  | Nova conexão: FD 6
[2025-11-26 12:00:46] INFO  | 📨 Dados recebidos na conexão FD 6: 704 bytes acumulados
[2025-11-26 12:00:46] INFO  | GET / HTTP/1.1 recebido na FD 6
[2025-11-26 12:00:46] DEBUG | Rota encontrada: /
[2025-11-26 12:00:46] INFO  | Status 200 OK
[2025-11-26 12:00:46] INFO  | Conexão fechada: FD 6
[2025-11-26 12:00:46] INFO  | Nova conexão: FD 6
[2025-11-26 12:00:46] INFO  | 📨 Dados recebidos na conexão FD 6: 644 bytes acumulados
[2025-11-26 12:00:46] INFO  | GET /3u-server-svgrepo-com.png HTTP/1.1 recebido na FD 6
[2025-11-26 12:00:46] DEBUG | Rota encontrada: /
[2025-11-26 12:00:46] INFO  | Status 200 OK
[2025-11-26 12:00:46] INFO  | Conexão fechada: FD 6
[2025-11-26 12:00:46] INFO  | Nova conexão: FD 6
[2025-11-26 12:00:46] INFO  | 📨 Dados recebidos na conexão FD 6: 632 bytes acumulados
[2025-11-26 12:00:46] INFO  | GET /serverImg.png HTTP/1.1 recebido na FD 6
[2025-11-26 12:00:46] DEBUG | Rota encontrada: /
[2025-11-26 12:00:46] INFO  | Status 200 OK
[2025-11-26 12:00:46] INFO  | Nova conexão: FD 7
[2025-11-26 12:00:46] INFO  | 📨 Dados recebidos na conexão FD 7: 567 bytes acumulados
[2025-11-26 12:00:46] INFO  | GET /index.js HTTP/1.1 recebido na FD 7
[2025-11-26 12:00:46] DEBUG | Rota encontrada: /
[2025-11-26 12:00:46] INFO  | Status 200 OK
[2025-11-26 12:00:46] INFO  | Conexão fechada: FD 7
[2025-11-26 12:00:46] INFO  | Conexão fechada: FD 6
[2025-11-26 12:00:47] INFO  | Nova conexão: FD 6
[2025-11-26 12:00:47] INFO  | 📨 Dados recebidos na conexão FD 6: 630 bytes acumulados
[2025-11-26 12:00:47] INFO  | GET /favicon.ico HTTP/1.1 recebido na FD 6
[2025-11-26 12:00:47] DEBUG | Rota encontrada: /
[2025-11-26 12:00:47] INFO  | Status 404 Not Found
[2025-11-26 12:00:47] INFO  | Conexão fechada: FD 6
[2025-11-26 12:04:01] INFO  | Nova conexão: FD 6
[2025-11-26 12:04:01] INFO  | 📨 Dados recebidos na conexão FD 6: 757 bytes acumulados
[2025-11-26 12:04:01] INFO  | GET /services.html HTTP/1.1 recebido na FD 6
[2025-11-26 12:04:01] DEBUG | Rota encontrada: /
[2025-11-26 12:04:01] INFO  | Status 404 Not Found
[2025-11-26 12:04:01] INFO  | Conexão fechada: FD 6
[2025-11-26 12:04:01] INFO  | Nova conexão: FD 6
[2025-11-26 12:04:01] INFO  | Nova conexão: FD 7
[2025-11-26 12:04:01] INFO  | 📨 Dados recebidos na conexão FD 6: 648 bytes acumulados
[2025-11-26 12:04:01] INFO  | GET /errors/error.png HTTP/1.1 recebido na FD 6
[2025-11-26 12:04:01] DEBUG | Rota encontrada: /
[2025-11-26 12:04:01] INFO  | Status 200 OK
[2025-11-26 12:04:01] INFO  | Conexão fechada: FD 6
[2025-11-26 12:04:32] INFO  | 
[TIMEOUT] Keep-Alive Timeout FD 7
[2025-11-26 12:06:33] INFO  | Servidor com 1 sockets ouvindo
[2025-11-26 12:06:33] INFO  | Servidor rodando...
[2025-11-26 12:06:54] INFO  | Nova conexão: FD 6
[2025-11-26 12:06:54] INFO  | 📨 Dados recebidos na conexão FD 6: 754 bytes acumulados
[2025-11-26 12:06:54] INFO  | GET /index.html HTTP/1.1 recebido na FD 6
[2025-11-26 12:06:54] DEBUG | Rota encontrada: /
[2025-11-26 12:06:54] INFO  | Status 200 OK
[2025-11-26 12:06:54] INFO  | Conexão fechada: FD 6
[2025-11-26 12:06:54] INFO  | Nova conexão: FD 6
[2025-11-26 12:06:54] INFO  | Nova conexão: FD 7
[2025-11-26 12:06:54] INFO  | 📨 Dados recebidos na conexão FD 6: 654 bytes acumulados
[2025-11-26 12:06:54] INFO  | GET /3u-server-svgrepo-com.png HTTP/1.1 recebido na FD 6
[2025-11-26 12:06:54] DEBUG | Rota encontrada: /
[2025-11-26 12:06:54] INFO  | Status 200 OK
[2025-11-26 12:06:54] INFO  | Conexão fechada: FD 6
[2025-11-26 12:06:54] INFO  | 📨 Dados recebidos na conexão FD 7: 642 bytes acumulados
[2025-11-26 12:06:54] INFO  | GET /serverImg.png HTTP/1.1 recebido na FD 7
[2025-11-26 12:06:54] DEBUG | Rota encontrada: /
[2025-11-26 12:06:54] INFO  | Status 200 OK
[2025-11-26 12:06:54] INFO  | Conexão fechada: FD 7
[2025-11-26 12:06:54] INFO  | Nova conexão: FD 6
[2025-11-26 12:06:54] INFO  | 📨 Dados recebidos na conexão FD 6: 577 bytes acumulados
[2025-11-26 12:06:54] INFO  | GET /index.js HTTP/1.1 recebido na FD 6
[2025-11-26 12:06:54] DEBUG | Rota encontrada: /
[2025-11-26 12:06:54] INFO  | Status 200 OK
[2025-11-26 12:06:54] INFO  | Conexão fechada: FD 6
[2025-11-26 12:07:01] INFO  | Nova conexão: FD 6
[2025-11-26 12:07:01] INFO  | 📨 Dados recebidos na conexão FD 6: 767 bytes acumulados
[2025-11-26 12:07:01] INFO  | GET /services.html HTTP/1.1 recebido na FD 6
[2025-11-26 12:07:01] DEBUG | Rota encontrada: /
[2025-11-26 12:07:01] INFO  | Status 404 Not Found
[2025-11-26 12:07:01] INFO  | Conexão fechada: FD 6
[2025-11-26 12:07:01] INFO  | Nova conexão: FD 6
[2025-11-26 12:07:01] INFO  | Nova conexão: FD 7
[2025-11-26 12:07:01] INFO  | 📨 Dados recebidos na conexão FD 6: 648 bytes acumulados
[2025-11-26 12:07:01] INFO  | GET /errors/error.png HTTP/1.1 recebido na FD 6
[2025-11-26 12:07:01] DEBUG | Rota encontrada: /
[2025-11-26 12:07:01] INFO  | Status 200 OK
[2025-11-26 12:07:01] INFO  | Conexão fechada: FD 6
[2025-11-26 12:07:32] INFO  | 
[TIMEOUT] Keep-Alive Timeout FD 7
